Run	Start Period	Stop Period	Seed	Biased Region X	Biased Region Y	District Height	District Width	Home Count	Initial Interest Minimum	Initial Interest Maximum	Learner Count	Learning Resource Count	Lot Count	Next Home ID	Next Learner ID	Next Resource ID	Pause Period	Random Seed	Regular YCount	Resource Efficacy Minimum	Resource Efficacy Maximum	Start Period	Stop Period	Subsequent Engagement Factor	Thread Count	Time Segments Wandering	Time Segmentsin Day	Count Homes Population	Count Learners Population	Count Learner Learning Interest	Minimum Learner Learning Interest	Maximum Learner Learning Interest	Sum Learner Learning Interest	Average Learner Learning Interest	Count Learner Resource Engagements	Minimum Learner Resource Engagements	Maximum Learner Resource Engagements	Sum Learner Resource Engagements	Average Learner Resource Engagements	Count Learner Not Interested Behavior	Count Learner Seeking Resource Behavior	Count Learner Found Resource Behavior	Count Learner At Home Behavior	Count Learning Resources Population	Count Resource Interactions Population
23	0	3000	1325544803276	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3450.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05451299949176034	1.0	33.1992307627096	0.331992307627096	100.0	0.0	30.0	392.0	3.92	81.0	0.0	19.0	0.0	10.0	966.0
24	0	3000	1325544804875	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3600.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.06489860551685298	1.0	37.29175866077624	0.37291758660776236	100.0	0.0	25.0	406.0	4.06	84.0	0.0	16.0	0.0	10.0	1010.0
25	0	3000	1325544806527	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3750.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05047603228112956	1.0	36.16109449634668	0.3616109449634668	100.0	0.0	32.0	363.0	3.63	80.0	0.0	20.0	0.0	10.0	1057.0
26	0	3000	1325544808226	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3900.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05461326790337896	1.0	27.116442857712048	0.2711644285771205	100.0	0.0	28.0	207.0	2.07	87.0	0.0	13.0	0.0	10.0	1099.0
27	0	3000	1325544809989	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4050.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05852978899036676	1.0	30.441109521151116	0.30441109521151116	100.0	0.0	31.0	308.0	3.08	85.0	0.0	15.0	0.0	10.0	1138.0
28	0	3000	1325544811784	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4200.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05179330458082439	1.0	35.23884797475771	0.3523884797475771	100.0	0.0	29.0	463.0	4.63	78.0	0.0	22.0	0.0	10.0	1178.0
29	0	3000	1325544813590	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4350.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05384660266664684	1.0	30.47168316817688	0.30471683168176883	100.0	0.0	26.0	253.0	2.53	87.0	0.0	13.0	0.0	10.0	1213.0
30	0	3000	1325544815451	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4500.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05349623426479599	1.0	33.967443371818305	0.33967443371818307	100.0	0.0	28.0	333.0	3.33	84.0	0.0	16.0	0.0	10.0	1269.0
31	0	3000	1325544817352	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4650.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0800	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.052520310874578036	1.0	40.89378143314016	0.40893781433140164	100.0	0.0	26.0	442.0	4.42	79.0	0.0	21.0	0.0	10.0	1324.0
32	0	3000	1325544819349	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4800.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0800	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05358079903988836	1.0	32.51259467464012	0.3251259467464012	100.0	0.0	28.0	272.0	2.72	84.0	1.0	15.0	0.0	10.0	1368.0
33	0	3000	1325544821391	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4950.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0800	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.06025945447630539	1.0	37.96981855402422	0.3796981855402422	100.0	0.0	28.0	414.0	4.14	81.0	0.0	19.0	0.0	10.0	1416.0
34	0	3000	1325544823497	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	5100.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0800	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05076008121714792	1.0	37.643247234435485	0.37643247234435484	100.0	0.0	23.0	299.0	2.99	87.0	0.0	13.0	0.0	10.0	1463.0
35	0	3000	1325544825621	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	5250.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0800	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05126122724605994	1.0	33.629139719609306	0.3362913971960931	100.0	0.0	28.0	341.0	3.41	82.0	0.0	18.0	0.0	10.0	1502.0
36	0	3000	1325544827844	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	5400.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0800	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05007773323147954	1.0	33.818671003092405	0.33818671003092404	100.0	0.0	29.0	335.0	3.35	84.0	0.0	16.0	0.0	10.0	1550.0
37	0	3000	1325544830110	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	5550.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0800	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050298393976112826	1.0	41.82927070362353	0.4182927070362353	100.0	0.0	30.0	475.0	4.75	76.0	0.0	24.0	0.0	10.0	1603.0
38	0	3000	1325544832393	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	5700.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0800	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05055617127634848	1.0	33.377024943868506	0.33377024943868505	100.0	0.0	30.0	311.0	3.11	84.0	0.0	16.0	0.0	10.0	1648.0
